movie,lead
The Shawshank Redemption,Tim Robbins
The Godfather,Marlon Brando
The Dark Knight,Christian Bale
The Godfather: Part II,Al Pacino
12 Angry Men,Henry Fonda
The Lord of the Rings: The Return of the King,Elijah Wood
Pulp Fiction,John Travolta
Schindler's List,Liam Neeson
Inception,Leonardo DiCaprio
Fight Club,Brad Pitt
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood
Forrest Gump,Tom Hanks
"Il buono, il brutto, il cattivo",Clint Eastwood
The Lord of the Rings: The Two Towers,Elijah Wood
The Matrix,Lilly Wachowski
Goodfellas,Robert De Niro
Star Wars: Episode V - The Empire Strikes Back,Mark Hamill
One Flew Over the Cuckoo's Nest,Jack Nicholson
Hamilton,Lin-Manuel Miranda
Gisaengchung,Kang-ho Song
Soorarai Pottru,Suriya
Interstellar,Matthew McConaughey
Cidade de Deus,Kátia Lund
Sen to Chihiro no kamikakushi,Daveigh Chase
Saving Private Ryan,Tom Hanks
The Green Mile,Tom Hanks
La vita è bella,Roberto Benigni
Se7en,Morgan Freeman
The Silence of the Lambs,Jodie Foster
Star Wars,Mark Hamill
Seppuku,Tatsuya Nakadai
Shichinin no samurai,Toshirô Mifune
It's a Wonderful Life,James Stewart
Joker,Joaquin Phoenix
Whiplash,Miles Teller
The Intouchables,Éric Toledano
The Prestige,Christian Bale
The Departed,Leonardo DiCaprio
The Pianist,Adrien Brody
Gladiator,Russell Crowe
American History X,Edward Norton
The Usual Suspects,Kevin Spacey
Léon,Jean Reno
The Lion King,Rob Minkoff
Terminator 2: Judgment Day,Arnold Schwarzenegger
Nuovo Cinema Paradiso,Philippe Noiret
Hotaru no haka,Tsutomu Tatsumi
Back to the Future,Michael J. Fox
Once Upon a Time in the West,Henry Fonda
Psycho,Anthony Perkins
Casablanca,Humphrey Bogart
Modern Times,Charles Chaplin
City Lights,Charles Chaplin
Capharnaüm,Zain Al Rafeea
Ayla: The Daughter of War,Erdem Can
Vikram Vedha,Pushkar
Kimi no na wa.,Ryûnosuke Kamiki
Dangal,Aamir Khan
Spider-Man: Into the Spider-Verse,Peter Ramsey
Avengers: Endgame,Joe Russo
Avengers: Infinity War,Joe Russo
Coco,Adrian Molina
Django Unchained,Jamie Foxx
The Dark Knight Rises,Christian Bale
3 Idiots,Aamir Khan
Taare Zameen Par,Amole Gupte
WALL·E,Ben Burtt
The Lives of Others,Ulrich Mühe
Oldeuboi,Choi Min-sik
Memento,Guy Pearce
Mononoke-hime,Yôji Matsuda
Once Upon a Time in America,Robert De Niro
Raiders of the Lost Ark,Harrison Ford
The Shining,Jack Nicholson
Apocalypse Now,Martin Sheen
Alien,Sigourney Weaver
Anand,Rajesh Khanna
Tengoku to jigoku,Toshirô Mifune
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Peter Sellers
Witness for the Prosecution,Tyrone Power
Paths of Glory,Kirk Douglas
Rear Window,James Stewart
Sunset Blvd.,William Holden
The Great Dictator,Charles Chaplin
1917,Dean-Charles Chapman
Tumbbad,Anand Gandhi
Andhadhun,Ayushmann Khurrana
Drishyam,Mohanlal
Jagten,Mads Mikkelsen
Jodaeiye Nader az Simin,Payman Maadi
Incendies,Lubna Azabal
Miracle in cell NO.7,Aras Bulut Iynemli
Babam ve Oglum,Çetin Tekindor
Inglourious Basterds,Brad Pitt
Eternal Sunshine of the Spotless Mind,Jim Carrey
Amélie,Audrey Tautou
Snatch,Jason Statham
Requiem for a Dream,Ellen Burstyn
American Beauty,Kevin Spacey
Good Will Hunting,Robin Williams
Bacheha-Ye aseman,Mohammad Amir Naji
Toy Story,Tom Hanks
Braveheart,Mel Gibson
Reservoir Dogs,Harvey Keitel
Full Metal Jacket,Matthew Modine
Idi i smotri,Aleksey Kravchenko
Aliens,Sigourney Weaver
Amadeus,F. Murray Abraham
Scarface,Al Pacino
Star Wars: Episode VI - Return of the Jedi,Mark Hamill
Das Boot,Jürgen Prochnow
Taxi Driver,Robert De Niro
The Sting,Paul Newman
A Clockwork Orange,Malcolm McDowell
2001: A Space Odyssey,Keir Dullea
Per qualche dollaro in più,Clint Eastwood
Lawrence of Arabia,Peter O'Toole
The Apartment,Jack Lemmon
North by Northwest,Cary Grant
Vertigo,James Stewart
Singin' in the Rain,Gene Kelly
Ikiru,Takashi Shimura
Ladri di biciclette,Lamberto Maggiorani
Double Indemnity,Fred MacMurray
Citizen Kane,Orson Welles
M - Eine Stadt sucht einen Mörder,Peter Lorre
Metropolis,Brigitte Helm
The Kid,Charles Chaplin
Chhichhore,Sushant Singh Rajput
Uri: The Surgical Strike,Vicky Kaushal
K.G.F: Chapter 1,Yash
Green Book,Viggo Mortensen
"Three Billboards Outside Ebbing, Missouri",Frances McDormand
Talvar,Irrfan Khan
Baahubali 2: The Conclusion,Prabhas
Klaus,Carlos Martínez López
Drishyam,Ajay Devgn
Queen,Kangana Ranaut
Mandariinid,Lembit Ulfsak
Bhaag Milkha Bhaag,Farhan Akhtar
